Title,Slug,Category,Category Slug,Target Keyword,Estimated Vol,Difficulty,Intent,Priority,Notes
"Accounting Software for Marketing Agencies: What Actually Works","accounting-software-marketing-agencies",Agency Finance Essentials,agency-finance-essentials,"accounting software for marketing agencies",90,12,I,P1,Highest vol informational keyword in dataset. Compare Xero/QuickBooks/FreeAgent for agency use cases. Funnel to lead capture.
"How to Read Your Agency P&L (And What the Numbers Mean)","how-to-read-agency-pl",Agency Finance Essentials,agency-finance-essentials,"agency finance basics",—,—,I,P1,Foundational content for new founders. High share potential.
"Profit Margins in Agencies: What's Normal and What's Not","agency-profit-margins-benchmarks",Agency Finance Essentials,agency-finance-essentials,"agency profit margins",—,—,I,P1,Data-driven post with industry benchmarks. Positions us as expert.
"Cash Flow in Agencies: Why Profitable Agencies Still Run Out of Money","agency-cash-flow-management",Agency Finance Essentials,agency-finance-essentials,"agency cash flow",—,—,I,P1,Common pain point. Practical guide.
"What Your Accountant Needs From You Every Month","what-to-send-accountant-monthly",Agency Finance Essentials,agency-finance-essentials,"agency bookkeeping",—,—,I,P2,Practical operations post. Good internal link to services.
"Key Financial KPIs Every Agency Founder Should Track","agency-financial-kpis",Agency Finance Essentials,agency-finance-essentials,"agency KPIs finance",—,—,I,P2,Management accounts framing. Links to management accounts service page.
"Chart of Accounts for an Agency: A Practical Setup Guide","chart-of-accounts-agency",Agency Finance Essentials,agency-finance-essentials,"chart of accounts agency",—,—,I,P3,Niche but useful for early-stage founders setting up Xero.
"Bookkeeping Basics for Agency Founders Who Hate Admin","bookkeeping-basics-agency-founders",Agency Finance Essentials,agency-finance-essentials,"bookkeeping for agencies",—,—,I,P3,Light tone. Good intro post for new agency founders.
"VAT for Marketing Agencies: Registration, Schemes and What to Charge Clients","vat-for-marketing-agencies",Tax & Compliance,tax-and-compliance,"VAT for agencies",—,—,I,P1,VAT is a common early-stage agency question. Clear search intent.
"Corporation Tax for Agency Founders: The Complete 2025/26 Guide","corporation-tax-agency-founders",Tax & Compliance,tax-and-compliance,"corporation tax agency",—,—,I,P1,Annual deadline driver. Comprehensive guide.
"Flat Rate VAT for Agencies: Is It Still Worth It?","flat-rate-vat-agencies",Tax & Compliance,tax-and-compliance,"flat rate VAT agency",—,—,I,P1,Highly practical. Most agency founders have heard of it but don't know if it applies.
"HMRC Deadlines Every Agency Founder Should Know","hmrc-deadlines-agency-founders",Tax & Compliance,tax-and-compliance,"HMRC deadlines agency",—,—,I,P2,Evergreen reference post. Updated annually.
"P11D and Benefits in Kind for Agency Directors","p11d-benefits-kind-agency-directors",Tax & Compliance,tax-and-compliance,"P11D agency director",—,—,I,P2,Practical compliance guide.
"Setting Up PAYE for Your First Agency Hire","setting-up-paye-first-agency-hire",Tax & Compliance,tax-and-compliance,"PAYE agency first employee",—,—,I,P2,Milestone post. Links to payroll service page.
"Self-Assessment for Agency Founders Drawing Freelance Income","self-assessment-agency-founders",Tax & Compliance,tax-and-compliance,"self assessment agency founder",—,—,I,P3,Relevant for founders in transition from sole trader to limited company.
"Making Tax Digital for Agency Founders: What Changes and When","making-tax-digital-agency-founders",Making Tax Digital,making-tax-digital,"making tax digital agency",—,—,I,P1,Category pillar post.
"MTD for Income Tax Self Assessment: The Agency Founder Guide","mtd-itsa-agency-founder-guide",Making Tax Digital,making-tax-digital,"MTD ITSA agency",—,—,I,P1,MTD ITSA is the most significant upcoming change for agency founders.
"MTD VAT for Agencies: What You Need to Do Now","mtd-vat-agencies",Making Tax Digital,making-tax-digital,"MTD VAT agency",—,—,I,P2,Practical compliance guide.
"Compatible MTD Software for Agency Businesses","mtd-compatible-software-agencies",Making Tax Digital,making-tax-digital,"MTD software agency",—,—,I,P3,Informational. Links to software post in Agency Finance Essentials.
"How to Pay Yourself as an Agency Founder: Salary vs Dividends","how-to-pay-yourself-agency-founder",Salary Dividends & Profit,salary-and-dividends,"pay yourself agency founder",—,—,I,P1,Highest-intent informational post in this category. Should rank quickly.
"Optimal Salary and Dividend Split for Agency Directors 2025/26","optimal-salary-dividend-split-agency-directors",Salary Dividends & Profit,salary-and-dividends,"salary dividend split agency",—,—,I,P1,Updated annually. Strong search intent.
"Dividend Tax Rates for Agency Directors 2025/26","dividend-tax-rates-agency-directors",Salary Dividends & Profit,salary-and-dividends,"dividend tax rates agency director",—,—,I,P2,Short but useful reference post.
"Should Your Spouse or Partner Own Shares in Your Agency?","spouse-shares-agency-income-splitting",Salary Dividends & Profit,salary-and-dividends,"spouse shares agency income splitting",—,—,I,P2,Income splitting is popular. Compliant framing required.
"Pension Contributions Through Your Agency: The Founder's Guide","pension-contributions-agency-founder",Salary Dividends & Profit,salary-and-dividends,"pension agency founder",—,—,I,P2,Tax efficient and popular topic.
"Bonus vs Dividend for Agency Directors: Which Saves More Tax?","bonus-vs-dividend-agency-directors",Salary Dividends & Profit,salary-and-dividends,"bonus vs dividend agency",—,—,I,P3,Comparison post. Good for search intent and share value.
"Sole Trader vs Limited Company for Agency Founders: The Full Breakdown","sole-trader-vs-limited-company-agency",Incorporation & Business Structure,incorporation-and-structure,"sole trader vs limited company agency",—,—,I,P1,Highest-intent incorporation post. Strong search volume likely.
"When to Incorporate Your Freelance Business Into an Agency","when-to-incorporate-agency",Incorporation & Business Structure,incorporation-and-structure,"when to incorporate agency",—,—,I,P1,Milestone decision post.
"Setting Up a Holding Company for Your Agency Group","holding-company-agency-group",Incorporation & Business Structure,incorporation-and-structure,"holding company agency",—,—,I,P2,Relevant for multi-entity founders and growth-stage agencies.
"Alphabet Share Structures in Agencies: What They Are and Why Founders Use Them","alphabet-shares-agency-founders",Incorporation & Business Structure,incorporation-and-structure,"alphabet shares agency",—,—,I,P2,Specialist post. Differentiates the site as genuinely expert.
"What Does Incorporation Actually Cost? The Agency Founder's Reality Check","incorporation-cost-agency-founders",Incorporation & Business Structure,incorporation-and-structure,"cost of incorporation agency",—,—,I,P2,Practical and specific. Converts to leads.
"Family Investment Company for Agency Founders: Is It Worth It?","family-investment-company-agency-founders",Incorporation & Business Structure,incorporation-and-structure,"family investment company agency",—,—,I,P3,Niche but valuable. Mirrors Property Tax Partners FIC content.
"Selling Your Agency: Tax Implications Explained","selling-agency-tax-implications",Growing & Exiting Your Agency,growth-and-exit,"selling agency tax UK",—,—,I,P1,High-value lead post. Exit-stage founders have serious money.
"Business Asset Disposal Relief for Agency Founders","business-asset-disposal-relief-agency",Growing & Exiting Your Agency,growth-and-exit,"BADR agency founders",—,—,I,P1,BADR is the primary tax relief on agency sale. Must-have post.
"How to Value Your Agency for Sale","how-to-value-agency-for-sale",Growing & Exiting Your Agency,growth-and-exit,"agency valuation UK",—,—,I,P2,Broad interest. Leads to more specialist questions.
"Earn-Out Structures in Agency Acquisitions: The Tax Angles","earn-out-agency-acquisitions-tax",Growing & Exiting Your Agency,growth-and-exit,"earn out agency acquisition tax",—,—,I,P2,Specialist. Differentiates the site.
"Management Buyouts in Agencies: A Finance Guide for Founders","management-buyout-agency-founders",Growing & Exiting Your Agency,growth-and-exit,"MBO agency finance",—,—,I,P2,MBOs are common in agency world.
"Goodwill Valuation When Selling an Agency","goodwill-valuation-selling-agency",Growing & Exiting Your Agency,growth-and-exit,"agency goodwill valuation",—,—,I,P3,Technical post. Shows deep expertise.
"IR35 for Agency Founders: What You Need to Know","ir35-agency-founders-guide",Contractors & IR35,contractors-and-ir35,"IR35 agency founders",—,—,I,P1,Fundamental topic. High search intent.
"Engaging Freelancers Through Your Agency: IR35 Risk and Compliance","engaging-freelancers-agency-ir35",Contractors & IR35,contractors-and-ir35,"IR35 freelancers agency",—,—,I,P1,Practical compliance guide for growing agencies.
"Inside vs Outside IR35 for Agency Contractors","inside-outside-ir35-agency-contractors",Contractors & IR35,contractors-and-ir35,"inside outside IR35 agency",—,—,I,P2,Common contractor question with agency context.
"Status Determination Statements for Agency Engagements","status-determination-statements-agencies",Contractors & IR35,contractors-and-ir35,"SDS IR35 agency",—,—,I,P2,Compliance focus. Practical template guidance.
"Off-Payroll Working Rules for Talent and Recruitment Agencies","off-payroll-working-talent-recruitment-agencies",Contractors & IR35,contractors-and-ir35,"off-payroll working recruitment agency",—,—,I,P2,Cross-links to /agencies/recruitment-agencies/.
"IR35 and Creative Agencies: The Practical Guide","ir35-creative-agencies-practical-guide",Contractors & IR35,contractors-and-ir35,"IR35 creative agency",—,—,I,P3,Agency-type specific. Supports /agencies/creative-agencies/.
"CEST Tool Limitations: What Agency Founders Should Know","cest-tool-limitations-agency",Contractors & IR35,contractors-and-ir35,"CEST tool agency",—,—,I,P3,Critical knowledge. CEST is often unreliable.
"How to Choose an Accountant for Your Agency","how-to-choose-accountant-agency",Agency Accountant Services,agency-accountant-services,"accountant for agency",—,—,C,P1,Bottom-of-funnel. Converts to leads directly.
"What Does an Agency Accountant Actually Do?","what-does-agency-accountant-do",Agency Accountant Services,agency-accountant-services,"agency accountant services",—,—,I,P1,Awareness-stage post that builds the case for specialist accountant.
"How Much Does an Agency Accountant Cost?","how-much-agency-accountant-cost",Agency Accountant Services,agency-accountant-services,"agency accountant cost",—,—,I,P1,High search intent. Pricing transparency builds trust.
"Do You Need a Specialist Accountant or Will Any Accountant Do?","specialist-vs-general-accountant-agency",Agency Accountant Services,agency-accountant-services,"specialist accountant agency",—,—,I,P2,Differentiates specialist positioning.
"Questions to Ask a Potential Accountant for Your Agency","questions-to-ask-agency-accountant",Agency Accountant Services,agency-accountant-services,"choose agency accountant",—,—,I,P2,Decision-support post. High trust signal.
"Signs Your Agency Has Outgrown Its Current Accountant","signs-outgrown-accountant-agency",Agency Accountant Services,agency-accountant-services,"outgrown accountant agency",—,—,I,P3,Churn-trigger content. Targets founders unhappy with their current accountant.
"UK Agency Founder Based in Dubai: Your UK Tax Obligations Explained","uk-agency-founder-dubai-tax-obligations",International & UAE Agencies,international-agencies,"UK agency founder Dubai tax",—,—,I,P1,Addresses the UAE angle directly. Underserved topic.
"UAE Corporate Tax for UK Agency Founders","uae-corporate-tax-uk-agency-founders",International & UAE Agencies,international-agencies,"UAE corporate tax UK agency",—,—,I,P1,UAE introduced 9% corporate tax in 2023. Directly relevant.
"Invoicing International Clients From Your UK Agency: VAT Rules","invoicing-international-clients-uk-agency-vat",International & UAE Agencies,international-agencies,"invoicing international clients UK agency VAT",—,—,I,P2,Practical compliance. Common question.
"Setting Up a UAE Branch of Your UK Agency","setting-up-uae-branch-uk-agency",International & UAE Agencies,international-agencies,"UAE branch UK agency setup",—,—,I,P3,Advanced topic. Targets growth-stage founders.
